module,type,name,res_id,src,value,comments
basic_hms,model,"ir.model.fields,help",basic_hms.field_medical_medicament__pregnancy_category,"""** FDA Pregancy Categories ***CATEGORY A :Adequate and well-controlled human studies have failed to demonstrate a risk to the fetus in the first trimester of pregnancy (and there is no evidence of risk in later trimesters)CATEGORY B : Animal reproduction studies have failed todemonstrate a risk to the fetus and there are no adequate and well-controlled studies in pregnant women OR Animal studies have shown an adverse effect, but adequate and well-controlled studies in pregnant women have failed to demonstrate a risk to the fetus in any trimester.

CATEGORY C : Animal reproduction studies have shown an adverse effect on the fetus and there are no adequate and well-controlled studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.

 CATEGORY D : There is positive evidence of human fetal  risk based on adverse reaction data from investigational or marketing experience or studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.

CATEGORY X : Studies in animals or humans have demonstrated fetal abnormalities and/or there is positive evidence of human fetal risk based on adverse reaction data from investigational or marketing experience, and the risks involved in use of the drug in pregnant women clearly outweigh potential benefits.

CATEGORY N : Not yet classified","""** FDA Pregancy Categories ***CATEGORY A :Adequate and well-controlled human studies have failed to demonstrate a risk to the fetus in the first trimester of pregnancy (and there is no evidence of risk in later trimesters)CATEGORY B : Animal reproduction studies have failed todemonstrate a risk to the fetus and there are no adequate and well-controlled studies in pregnant women OR Animal studies have shown an adverse effect, but adequate and well-controlled studies in pregnant women have failed to demonstrate a risk to the fetus in any trimester.

CATEGORY C : Animal reproduction studies have shown an adverse effect on the fetus and there are no adequate and well-controlled studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.

 CATEGORY D : There is positive evidence of human fetal  risk based on adverse reaction data from investigational or marketing experience or studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.

CATEGORY X : Studies in animals or humans have demonstrated fetal abnormalities and/or there is positive evidence of human fetal risk based on adverse reaction data from investigational or marketing experience, and the risks involved in use of the drug in pregnant women clearly outweigh potential benefits.

CATEGORY N : Not yet classified",
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_eyes__1,1 : Does not Open Eyes,1 : Does not Open Eyes,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__1,1 : Makes no movement,1 : Makes no movement,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_verbal__1,1 : Makes no sounds,1 : Makes no sounds,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__2,2 : Extension to painful stimuli -decerabrate response,2 : Extension to painful stimuli -decerabrate response,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_verbal__2,2 : Incomprehensible Sounds,2 : Incomprehensible Sounds,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_eyes__2,2 : Opens eyes in response to painful Stimuli,2 : Opens eyes in response to painful Stimuli,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__3,3 : Abnormal flexion to painful stimuli (decorticate response),3 : Abnormal flexion to painful stimuli (decorticate response),
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_eyes__3,3 : Open eyes to response to voice,3 : Open eyes to response to voice,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_verbal__3,3 : Utters inapporopriate words,3 : Utters inapporopriate words,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_verbal__4,4 : Confused disoriented,4 : Confused disoriented,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__4,4 : Flexion/Withdrawal to painful stimuli,4 : Flexion/Withdrawal to painful stimuli,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_eyes__4,4 : Open eyes spontaneously,4 : Open eyes spontaneously,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__5,5 : Localizes painful stimuli,5 : Localizes painful stimuli,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_verbal__5,5 : Oriented converses normally,5 : Oriented converses normally,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_icu_glasgow__glasgow_motor__6,6 : Obeys commands,6 : Obeys commands,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_neomatal_apgar__apgar_pulse__1,< 100,< 100,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_newborn_card_document,<b>ID:</b>,<b>ID:</b>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Address:</b>","<br/>
												<b>Address:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Age:</b>","<br/>
												<b>Age:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Blood Group:</b>","<br/>
												<b>Blood Group:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Date of Birth :</b>","<br/>
												<b>Date of Birth :</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Gender :</b>","<br/>
												<b>Gender :</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Name:</b>","<br/>
												<b>Name:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Phone No:</b>","<br/>
												<b>Phone No:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_patient_card_document,"<br/>
												<b>Title:</b>","<br/>
												<b>Title:</b>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_newborn_card_document,"<br/>
                                            <span>Height(cm): </span>","<br/>
                                            <span>Height(cm): </span>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<span>Allow Substitution</span>,<span>Allow Substitution</span>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_newborn_card_document,<span>Gender: </span>,<span>Gender: </span>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.report_newborn_card_document,<span>Weight(gram): </span>,<span>Weight(gram): </span>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,"<strong style=""background-color: #F2F2F2;"">LABORATORY REPORT</strong>","<strong style=""background-color: #F2F2F2;"">LABORATORY REPORT</strong>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong> Date:</strong>,<strong> Date:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong> Institution :   </strong>,<strong> Institution :   </strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>APPOINTMENT INFORMATION</strong>,<strong>APPOINTMENT INFORMATION</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Age:</strong>,<strong>Age:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>Appointment:</strong>,<strong>Appointment:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Common Dosage</strong>,<strong>Common Dosage</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Doctor Signature:</strong>,<strong>Doctor Signature:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Doctor:</strong>,<strong>Doctor:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Form</strong>,<strong>Form</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Frequency</strong>,<strong>Frequency</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>Health Professional :   </strong>,<strong>Health Professional :   </strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_diseases_document_report,"<strong>Important information about the patient diseases, allergies and procedures:</strong>","<strong>Important information about the patient diseases, allergies and procedures:</strong>",
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Indication</strong>,<strong>Indication</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>Instructions / Notes :</strong>,<strong>Instructions / Notes :</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_document_lab,<strong>LABORATORY TESTS</strong>,<strong>LABORATORY TESTS</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Medicament</strong>,<strong>Medicament</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Notes:</strong>,<strong>Notes:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_diseases_document_report,<strong>PATIENT DISEASE SUMMARY REPORT</strong>,<strong>PATIENT DISEASE SUMMARY REPORT</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_medications_document_report,<strong>PATIENT MEDICATION HISTORY</strong>,<strong>PATIENT MEDICATION HISTORY</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_vaccinations_document,<strong>PATIENT VACCINATIONS HISTORY</strong>,<strong>PATIENT VACCINATIONS HISTORY</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>PRESCRIPTION REPORT</strong>,<strong>PRESCRIPTION REPORT</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Patient Name:</strong>,<strong>Patient Name:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>Patient:</strong>,<strong>Patient:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Prescription Details</strong>,<strong>Prescription Details</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Quantity</strong>,<strong>Quantity</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Refills</strong>,<strong>Refills</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Remarks</strong>,<strong>Remarks</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Review</strong>,<strong>Review</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Route</strong>,<strong>Route</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.appointment_recipts_report_template,<strong>SSN:</strong>,<strong>SSN:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Sex:</strong>,<strong>Sex:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Signature:_____________________________</strong>,<strong>Signature:_____________________________</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Start</strong>,<strong>Start</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Stop</strong>,<strong>Stop</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Substitution</strong>,<strong>Substitution</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,<strong>Test ID:</strong>,<strong>Test ID:</strong>,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.prescription_demo_report_template,<strong>Treatment</strong>,<strong>Treatment</strong>,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_neomatal_apgar__apgar_pulse__2,> 100,> 100,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient__blood_type__ab,AB,AB,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_prental_evoultion__ac,AC,AC,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_colposcopy_history__result__g4,AIS,AIS,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_pap_history__result__g4,AIS,AIS,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_colposcopy_history__result__c2,ASC-H,ASC-H,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_pap_history__result__c2,ASC-H,ASC-H,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_colposcopy_history__result__c1,ASC-US,ASC-US,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_pap_history__result__c1,ASC-US,ASC-US,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_colposcopy_history__result__g1,ASG,ASG,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_pap_history__result__g1,ASG,ASG,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_medication_dosage__abbreviation,Abbreviation,Abbreviation,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__abdominal_circ,Abdominal Circumference,Abdominal Circumference,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__symptom_abdominal_distension,Abdominal Distension,Abdominal Distension,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__symptom_abdominal_pain,Abdominal Pain,Abdominal Pain,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_mammography_history__result__abnormal,Abnormal,Abnormal,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_evaluation__loc_motor__3,Abnormal flexion to painful stimuli decerebrate response,Abnormal flexion to painful stimuli decerebrate response,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__abortions,Abortions,Abortions,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_preinatal__abruptio_placentae,Abruptio Placentae,Abruptio Placentae,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_neomatal_apgar__apgar_respiration__0,Absent,Absent,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_rounding__bowel_sounds__absent,Absent,Absent,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_psc__psc_absent_from_school,Absent from school,Absent from school,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__abstraction,Abstraction,Abstraction,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_puerperium_monitor__lochia_amount__a,Abudant,Abudant,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_prental_evoultion__invasive_placentation__accreta,Accreta,Accreta,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__acropachy,Acropachy,Acropachy,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_neomatal_apgar__apgar_appearance__1,Acrosynosis,Acrosynosis,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_medications_document_report,Act,Act,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_appointment__message_needaction,Action Needed,Action Needed,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_medication__is_active,Active,Active,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_pathology_category__active,Active,Active,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication1__is_active,Active,Active,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication__is_active,Active,Active,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient__sex_anal__1,Active,Active,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient__sex_oral__1,Active,Active,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_diseases_document_report,Active,Active,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_medicament__active_component,Active Component,Active Component,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_diseases__is_active,Active Disease,Active Disease,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_disease__is_active,Active disease,Active disease,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_neomatal_apgar__apgar_activity,Activity,Activity,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_psc__psc_acts_as_driven_by_motor,Acts as if driven by a motor,Acts as if driven by a motor,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_psc__psc_act_as_younger,Acts younger than children his or her age,Acts younger than children his or her age,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_patients_form_view,Addictions,Addictions,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__partner_address_id,Address,Address,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_medication__inpatient_admin_times_ids,Admin,Admin,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_medication__admin_times,Admin Hours,Admin Hours,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication1__admin_times,Admin Hours,Admin Hours,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication__admin_times,Admin Hours,Admin Hours,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_line__admin_times,Admin Hours,Admin Hours,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_medication_admin_time__medical_inpatient_admin_time_medicament_id,Admin Time,Admin Time,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_line__end_treatement,Administration Route,Administration Route,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_line__route,Administration Route,Administration Route,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_inpatient_registration_form_view,Administrative Data,Administrative Data,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_preinatal__admission_date,Admission Date,Admission Date,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_registration__admission_type,Admission Type,Admission Type,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_inpatient_medication_form_view,Admnistration,Admnistration,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_patient_medication1_form_view,Admnistration,Admnistration,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_patient_medication_form,Admnistration,Admnistration,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_medicament__adverse_reaction,Adverse Reactions,Adverse Reactions,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_medicament_form_view,Adverse Reactions,Adverse Reactions,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_pathology__chromosome,Affected Chromosome,Affected Chromosome,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_document_lab,Age :,Age :,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_diseases_document_report,Age :,Age :,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_medications_document_report,Age :,Age :,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.patient_vaccinations_document,Age :,Age :,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__first_sexual_encounter,Age first sexual encounter,Age first sexual encounter,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_quit_smoking,Age of quitting,Age of quitting,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_quit_drinking,Age quit drinking,Age quit drinking,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_quit_drugs,Age quit drugs,Age quit drugs,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_start_drugs,Age started drugs,Age started drugs,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_start_drinking,Age started to drink,Age started to drink,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__age_start_smoking,Age started to smoke,Age started to smoke,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_disease__age,Age when diagnosed,Age when diagnosed,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_diseases__age,Age when diagnosed,Age when diagnosed,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_icu_chest_drainage__air_leak,Air Leak,Air Leak,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_puerperium_monitor__lochia_color__a,Alba,Alba,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_disease__is_allergic,Allergic Disease,Allergic Disease,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_diseases__is_allergy,Allergic Disease,Allergic Disease,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_patient_disease_form_view,Allergies,Allergies,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_disease__allergy_type,Allergy type,Allergy type,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_diseases__allergy_type,Allergy_type,Allergy_type,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_line__allow_substitution,Allow Substitution,Allow Substitution,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__alopecia,Alopecia,Alopecia,
basic_hms,code,addons/basic_hms/wizard/medical_health_services_invoice_wizard.py,19,Already Invoiced,Already Invoiced,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_appointment__patient_status__ambulatory,Ambulatory,Ambulatory,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_evaluation__evaluation_type__a,Ambulatory,Ambulatory,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__symptom_amenorrhea,Amenorrhea,Amenorrhea,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_menstrual_history__frequency__amenorrhea,Amenorrhea,Amenorrhea,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__symptom_amnesia,Amnesia,Amnesia,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__sex_anal,Anal Sex,Anal Sex,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_view_report_lab_result_demo_report,Analyte,Analyte,
basic_hms,model,"ir.model.fields.selection,name",basic_hms.selection__medical_patient_rounding__edema__anasarca,Anasarca,Anasarca,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding__anisocoria,Anisocoria,Anisocoria,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__symptom_anorexia,Anorexia,Anorexia,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_patient_evaluation_form_view,Anthropometry,Anthropometry,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__anticonceptive,Anticonceptive Method,Anticonceptive Method,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_neomatal_apgar__apgar_scores,Apgar Score,Apgar Score,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_neomatal_apgar__apgar_appearance,Appearance,Appearance,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_psc__appointment_id,Appointment,Appointment,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_order__appointment_id,Appointment,Appointment,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_prescription_order__medical_appointment_id,Appointment,Appointment,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_appointment_form_view,Appointment,Appointment,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_appointment_form_view,Appointment #,Appointment #,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_appointment__appointment_date,Appointment Date,Appointment Date,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_evaluation__medical_appointment_date_id,Appointment Date,Appointment Date,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_appointment__appointment_end,Appointment End,Appointment End,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_appointment__name,Appointment ID,Appointment ID,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_appointment_tree_view,Appointment Information,Appointment Information,
basic_hms,model,"ir.actions.report,name",basic_hms.report_print_appointment,Appointment Recipts New,Appointment Recipts New,
basic_hms,model,"ir.actions.act_window,name",basic_hms.action_medical_appointment,Appointments,Appointments,
basic_hms,model,"ir.actions.act_window,name",basic_hms.action_view_appointment_id_new,Appointments,Appointments,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__medical_appointments_ids,Appointments,Appointments,
basic_hms,model,"ir.ui.menu,name",basic_hms.menu_appointment,Appointments,Appointments,
basic_hms,model,"ir.ui.menu,name",basic_hms.menu_medical_appointment,Appointments,Appointments,
basic_hms,model_terms,"ir.ui.view,arch_db",basic_hms.medical_appointment_calendar_view,Appointments,Appointments,
basic_hms,model,"ir.ui.menu,name",basic_hms.menu_medical_paper_archive,Archive,Archive,
